var_provincia;var_sexo;var_tipocontrato;var_grupo_cnae;var_tipojornada;var_antiguedad;salario_bruto_anual_medio;factor_elev
2;hombre;Indefinido;C;Tiempo parcial;De cinco a diez años;19226.45226;135.06
2;hombre;Indefinido;C;Tiempo parcial;De dos a cinco años;15387.06997;97.31
2;hombre;Indefinido;C;Tiempo parcial;Más de diez años;17106.46679;166.77
2;hombre;Indefinido;C;Tiempo parcial;Menos de dos años;13494.16915;503.45
2;hombre;Indefinido;D;Tiempo completo;De cinco a diez años;27664.63225;59.97
2;hombre;Indefinido;D;Tiempo completo;Más de diez años;50083.24191;191.36
2;hombre;Indefinido;E;Tiempo completo;De cinco a diez años;23893.99783;68.78
2;hombre;Indefinido;E;Tiempo completo;De dos a cinco años;29749.51422;45
2;hombre;Indefinido;E;Tiempo completo;Más de diez años;27912.94215;99.25
2;hombre;Indefinido;E;Tiempo completo;Menos de dos años;20674.063;71.17
2;hombre;Indefinido;E;Tiempo parcial;De cinco a diez años;11654.49;14.61
2;hombre;Indefinido;F;Tiempo completo;De cinco a diez años;20936.23066;789.93
2;hombre;Indefinido;F;Tiempo completo;De dos a cinco años;21015.08997;510.45
2;hombre;Indefinido;F;Tiempo completo;Más de diez años;26842.01511;777.6
2;hombre;Indefinido;F;Tiempo completo;Menos de dos años;17666.5924;421.91
2;hombre;Indefinido;G;Tiempo completo;De cinco a diez años;19102.36563;3799.31
2;hombre;Indefinido;G;Tiempo completo;De dos a cinco años;23311.56453;57.76
2;hombre;Indefinido;G;Tiempo completo;Más de diez años;24387.14633;2484.96
2;hombre;Indefinido;G;Tiempo completo;Menos de dos años;17938.54937;1867.44
2;hombre;Indefinido;G;Tiempo parcial;De cinco a diez años;15383.35621;288.47
2;hombre;Indefinido;G;Tiempo parcial;Más de diez años;10247;36.27
2;hombre;Indefinido;G;Tiempo parcial;Menos de dos años;11471.25795;553.62
2;hombre;Indefinido;H;Tiempo completo;De cinco a diez años;22217.14509;586.46
2;hombre;Indefinido;H;Tiempo completo;De dos a cinco años;15299.22605;154.27
2;hombre;Indefinido;H;Tiempo completo;Más de diez años;34808.43897;661.47
2;hombre;Indefinido;H;Tiempo completo;Menos de dos años;18558.09454;656.8
